["port 1","LEFT"]
["port 2","LEFT"]
["port 3","LEFT"]
["port 4","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(101, 3)
1.9111769197500000e+14 1.6597398318839828e-03 5.3969562793987294e+00
1.9124260549916666e+14 1.7817755427399307e-03 5.6304917508794157e+00
1.9136751902333334e+14 1.8986156950756392e-03 5.8643583288655101e+00
1.9149243254750000e+14 2.0100155043370010e-03 6.0985525983122582e+00
1.9161734607166666e+14 2.1157381653419752e-03 6.3330953013762663e+00
1.9174225959583334e+14 2.2155557072744379e-03 6.5680228476691820e+00
1.9186717312000000e+14 2.3092498376474924e-03 6.8033805174383950e+00
1.9199208664416666e+14 2.3966129967823786e-03 7.0392167313900309e+00
1.9211700016833334e+14 2.4774497880531922e-03 7.2755780964405981e+00
1.9224191369250000e+14 2.5515788409274493e-03 7.5125051230908708e+00
1.9236682721666666e+14 2.6188350204691324e-03 7.7500286120844608e+00
1.9249174074083334e+14 2.6790611392367531e-03 7.9881682975800530e+00
1.9261665426500000e+14 2.7321400421093951e-03 8.2269266767653857e+00
1.9274156778916666e+14 2.7779677584233468e-03 8.4662914844445059e+00
1.9286648131333334e+14 2.8164624417693698e-03 8.7062340055401286e+00
1.9299139483750000e+14 2.8475625692136412e-03 8.9467094281864838e+00
1.9311630836166666e+14 2.8712229961356407e-03 9.1876579417205839e+00
1.9324122188583331e+14 2.8874087559164576e-03 9.4290064525810102e+00
1.9336613541000000e+14 2.8960867840854563e-03 9.6706707443823401e+00
1.9349104893416666e+14 2.8972160615375817e-03 9.9125578722186045e+00
1.9361596245833331e+14 2.8907369672005597e-03 1.0154568559257426e+01
1.9374087598250000e+14 2.8765538300874719e-03 1.0396606399315031e+01
1.9386578950666666e+14 2.8545519917163010e-03 1.0638559686960315e+01
1.9399070303083331e+14 2.8245615018488734e-03 1.0880320728939646e+01
1.9411561655500000e+14 2.7863648095140482e-03 1.1121780395388079e+01
1.9424053007916666e+14 2.7396983541650571e-03 1.1362827268180597e+01
1.9436544360333331e+14 2.6842592229942967e-03 1.1603345624791938e+01
1.9449035712750000e+14 2.6197170380118061e-03 1.1843212085421483e+01
1.9461527065166666e+14 2.5457308155173663e-03 1.2082290680379080e+01
1.9474018417583331e+14 2.4619701239360927e-03 1.2320425940012090e+01
1.9486509770000000e+14 2.3681395028486117e-03 1.2557433317090634e+01
1.9499001122416666e+14 2.2640263122506248e-03 1.2793090542275673e+01
1.9511492474833331e+14 2.1494659805831148e-03 1.3027100617326440e+01
1.9523983827250000e+14 2.0244255964075412e-03 1.3259082274264875e+01
